week,committer,penalty_type,penalty_category,total_penalties,total_yards,avg_yards_per_penalty
1,East Carolina,Roughing the Passer,Personal / Contact,2,65.0,32.5
1,Eastern Michigan,Delay of Game,Procedural,1,5.0,5.0
1,Eastern Michigan,Face Mask,Other,1,15.0,15.0
1,Eastern Michigan,False Start,Procedural,2,10.0,5.0
1,Eastern Michigan,Holding,Blocking / Holding,6,41.0,6.83
1,Eastern Michigan,Illegal Formation,Procedural,1,0.0,0.0
1,Eastern Michigan,Other / Unclassified,Administrative,1,7.0,7.0
1,Eastern Michigan,Pass Interference,Personal / Contact,1,7.0,7.0
1,Florida,Delay of Game,Procedural,1,5.0,5.0
1,Florida,Face Mask,Other,1,15.0,15.0
1,Florida,Offside,Procedural,1,5.0,5.0
1,Florida,Other / Unclassified,Blocking / Holding,1,0.0,0.0
1,Florida,Pass Interference,Personal / Contact,1,15.0,15.0
1,Florida,Personal Foul,Personal / Contact,1,0.0,0.0
1,Florida Atlantic,Face Mask,Other,1,15.0,15.0
1,Florida Atlantic,False Start,Procedural,2,10.0,5.0
1,Florida Atlantic,Holding,Blocking / Holding,1,3.0,3.0
1,Florida Atlantic,Offside,Procedural,2,0.0,0.0
1,Florida International,Delay of Game,Procedural,1,5.0,5.0
1,Florida International,Face Mask,Other,1,15.0,15.0
1,Florida International,False Start,Procedural,2,10.0,5.0
1,Florida International,Holding,Blocking / Holding,1,10.0,10.0
1,Florida International,Other / Unclassified,Administrative,2,23.0,11.5
1,Florida International,Pass Interference,Personal / Contact,1,0.0,0.0
1,Florida International,Personal Foul,Personal / Contact,1,0.0,0.0
1,Florida State,False Start,Procedural,1,5.0,5.0
1,Florida State,Holding,Blocking / Holding,2,20.0,10.0
1,Fresno State,False Start,Procedural,1,0.0,0.0
1,Fresno State,Holding,Blocking / Holding,5,50.0,10.0
1,Fresno State,Other / Unclassified,Other,1,5.0,5.0
1,Fresno State,Personal Foul,Personal / Contact,1,15.0,15.0
1,Georgia,Delay of Game,Procedural,1,5.0,5.0
1,Georgia,Holding,Blocking / Holding,1,10.0,10.0
1,Georgia Southern,Holding,Blocking / Holding,4,36.0,9.0
1,Georgia Southern,Personal Foul,Personal / Contact,1,8.0,8.0
1,Georgia Southern,Unsportsmanlike Conduct,Personal / Contact,1,0.0,0.0
1,Georgia State,Delay of Game,Procedural,2,8.0,4.0
1,Georgia State,False Start,Procedural,1,5.0,5.0
1,Georgia State,Other / Unclassified,Other,2,15.0,7.5
1,Georgia State,Pass Interference,Personal / Contact,1,6.0,6.0
1,Georgia Tech,False Start,Procedural,3,15.0,5.0
1,Georgia Tech,Holding,Blocking / Holding,3,14.0,4.67
1,Georgia Tech,Other / Unclassified,Other,1,5.0,5.0
1,Georgia Tech,Pass Interference,Personal / Contact,1,15.0,15.0
1,Hawai'i,Delay of Game,Procedural,1,5.0,5.0
1,Hawai'i,Face Mask,Other,2,30.0,15.0
1,Hawai'i,False Start,Procedural,2,5.0,2.5
1,Hawai'i,Holding,Blocking / Holding,3,10.0,3.33
1,Hawai'i,Other / Unclassified,Other,2,0.0,0.0
1,Hawai'i,Other / Unclassified,Procedural,1,0.0,0.0
1,Hawai'i,Pass Interference,Personal / Contact,2,13.0,6.5
1,Hawai'i,Personal Foul,Personal / Contact,1,0.0,0.0
1,Hawai'i,Unsportsmanlike Conduct,Personal / Contact,1,12.0,12.0
1,Houston,Delay of Game,Procedural,1,5.0,5.0
1,Houston,False Start,Procedural,2,0.0,0.0
1,Houston,Holding,Blocking / Holding,1,0.0,0.0
1,Houston,Other / Unclassified,Other,1,0.0,0.0
1,Houston,Pass Interference,Personal / Contact,2,0.0,0.0
1,Houston,Personal Foul,Personal / Contact,1,0.0,0.0
1,Illinois,False Start,Procedural,1,5.0,5.0
1,Illinois,Holding,Blocking / Holding,1,8.0,8.0
1,Illinois,Offside,Procedural,1,5.0,5.0
1,Illinois,Pass Interference,Personal / Contact,2,30.0,15.0
1,Illinois,Personal Foul,Personal / Contact,2,15.0,7.5
1,Indiana,False Start,Procedural,1,5.0,5.0
1,Indiana,Holding,Blocking / Holding,1,0.0,0.0
1,Indiana,Offside,Procedural,1,5.0,5.0
1,Indiana,Other / Unclassified,Other,1,0.0,0.0
1,Indiana,Pass Interference,Personal / Contact,1,15.0,15.0
1,Indiana,Personal Foul,Personal / Contact,1,15.0,15.0
1,Iowa,Offside,Procedural,2,0.0,0.0
1,Iowa,Other / Unclassified,Administrative,1,4.0,4.0
1,Iowa State,False Start,Procedural,1,5.0,5.0
1,Iowa State,Pass Interference,Personal / Contact,3,43.0,14.33
1,Jacksonville State,Delay of Game,Procedural,1,5.0,5.0
1,Jacksonville State,False Start,Procedural,3,15.0,5.0
1,Jacksonville State,Holding,Blocking / Holding,1,5.0,5.0
1,Jacksonville State,Offside,Procedural,2,17.0,8.5
1,Jacksonville State,Targeting,Personal / Contact,1,15.0,15.0
1,James Madison,Holding,Blocking / Holding,2,0.0,0.0
1,James Madison,Pass Interference,Personal / Contact,1,0.0,0.0
1,Kansas,Face Mask,Other,1,15.0,15.0
1,Kansas,False Start,Procedural,2,10.0,5.0
1,Kansas,Holding,Blocking / Holding,2,1.0,0.5
1,Kansas,Illegal Formation,Procedural,1,1.0,1.0
1,Kansas,Other / Unclassified,Administrative,1,3.0,3.0
1,Kansas,Other / Unclassified,Other,3,20.0,6.67
1,Kansas,Pass Interference,Personal / Contact,2,0.0,0.0
1,Kansas State,Delay of Game,Procedural,1,0.0,0.0
1,Kansas State,Face Mask,Other,1,3.0,3.0
1,Kansas State,False Start,Procedural,1,0.0,0.0
1,Kansas State,Holding,Blocking / Holding,3,63.0,21.0
1,Kansas State,Other / Unclassified,Other,2,12.0,6.0
1,Kansas State,Pass Interference,Personal / Contact,2,30.0,15.0
1,Kennesaw State,False Start,Procedural,3,15.0,5.0
1,Kennesaw State,Offside,Procedural,1,5.0,5.0
1,Kennesaw State,Other / Unclassified,Other,4,47.0,11.75
1,Kent State,Delay of Game,Procedural,2,10.0,5.0
1,Kent State,False Start,Procedural,1,5.0,5.0
1,Kent State,Illegal Formation,Procedural,1,2.0,2.0
1,Kent State,Unsportsmanlike Conduct,Personal / Contact,2,30.0,15.0
1,Kentucky,Holding,Blocking / Holding,1,10.0,10.0
1,Kentucky,Pass Interference,Personal / Contact,2,29.0,14.5
1,LSU,False Start,Procedural,2,5.0,2.5
1,LSU,Holding,Blocking / Holding,1,2.0,2.0
1,LSU,Illegal Formation,Procedural,1,16.0,16.0
1,LSU,Pass Interference,Personal / Contact,3,32.0,10.67
1,LSU,Roughing,Personal / Contact,1,0.0,0.0
1,Liberty,False Start,Procedural,1,5.0,5.0
1,Liberty,Pass Interference,Personal / Contact,1,15.0,15.0
1,Liberty,Personal Foul,Personal / Contact,1,0.0,0.0
1,Liberty,Unsportsmanlike Conduct,Personal / Contact,1,0.0,0.0
1,Louisiana,Holding,Blocking / Holding,2,21.0,10.5
1,Louisiana,Offside,Procedural,1,5.0,5.0
1,Louisiana,Other / Unclassified,Other,2,15.0,7.5
1,Louisiana,Pass Interference,Personal / Contact,2,30.0,15.0
1,Louisiana,Pass Interference,Procedural,1,15.0,15.0
1,Louisiana Tech,False Start,Procedural,1,5.0,5.0
1,Louisiana Tech,Other / Unclassified,Other,3,15.0,5.0
1,Louisiana Tech,Personal Foul,Personal / Contact,1,1.0,1.0
1,Louisiana Tech,Roughing the Passer,Personal / Contact,1,15.0,15.0
1,Louisville,Holding,Blocking / Holding,4,58.0,14.5
1,Louisville,Other / Unclassified,Administrative,1,0.0,0.0
1,Louisville,Other / Unclassified,Blocking / Holding,1,7.0,7.0
1,Louisville,Pass Interference,Personal / Contact,3,15.0,5.0
1,Louisville,Personal Foul,Personal / Contact,1,0.0,0.0
1,Louisville,Unsportsmanlike Conduct,Personal / Contact,1,0.0,0.0
1,Marshall,Delay of Game,Procedural,1,5.0,5.0
1,Marshall,Holding,Blocking / Holding,1,10.0,10.0
1,Marshall,Illegal Formation,Procedural,3,15.0,5.0
1,Maryland,Delay of Game,Procedural,2,10.0,5.0
1,Maryland,Face Mask,Other,1,15.0,15.0
1,Maryland,False Start,Procedural,4,20.0,5.0
1,Maryland,Holding,Blocking / Holding,1,7.0,7.0
1,Maryland,Illegal Formation,Procedural,1,0.0,0.0
1,Maryland,Offside,Procedural,2,6.0,3.0
1,Maryland,Other / Unclassified,Procedural,1,5.0,5.0
1,Maryland,Pass Interference,Personal / Contact,2,22.0,11.0
1,Maryland,Roughing the Passer,Personal / Contact,1,0.0,0.0
1,Maryland,Unsportsmanlike Conduct,Personal / Contact,1,15.0,15.0
1,Massachusetts,False Start,Procedural,2,10.0,5.0
1,Massachusetts,Holding,Blocking / Holding,2,17.0,8.5
1,Massachusetts,Other / Unclassified,Other,2,0.0,0.0
1,Massachusetts,Pass Interference,Personal / Contact,1,15.0,15.0
1,Massachusetts,Personal Foul,Personal / Contact,1,0.0,0.0
1,Memphis,Holding,Blocking / Holding,2,10.0,5.0
1,Memphis,Offside,Procedural,1,5.0,5.0
1,Memphis,Personal Foul,Personal / Contact,1,0.0,0.0
1,Miami,Delay of Game,Procedural,1,5.0,5.0
1,Miami,Holding,Blocking / Holding,2,0.0,0.0
1,Miami,Other / Unclassified,Other,1,0.0,0.0
1,Miami,Pass Interference,Personal / Contact,2,11.0,5.5
1,Miami (OH),Holding,Blocking / Holding,1,17.0,17.0
1,Miami (OH),Illegal Formation,Procedural,1,0.0,0.0
1,Miami (OH),Offside,Procedural,1,0.0,0.0
1,Michigan,False Start,Procedural,1,5.0,5.0
1,Michigan,Holding,Blocking / Holding,1,12.0,12.0
1,Michigan,Illegal Formation,Procedural,1,0.0,0.0
1,Michigan,Offside,Procedural,2,10.0,5.0
1,Michigan,Pass Interference,Personal / Contact,2,10.0,5.0
1,Michigan State,False Start,Procedural,3,10.0,3.33
1,Michigan State,Holding,Blocking / Holding,3,0.0,0.0
1,Middle Tennessee,False Start,Procedural,1,5.0,5.0
1,Middle Tennessee,Other / Unclassified,Other,1,15.0,15.0
1,Minnesota,Delay of Game,Procedural,1,5.0,5.0
1,Minnesota,Pass Interference,Personal / Contact,1,15.0,15.0
1,Mississippi State,Delay of Game,Procedural,1,5.0,5.0
1,Mississippi State,False Start,Procedural,2,10.0,5.0
1,Mississippi State,Holding,Blocking / Holding,7,16.0,2.29
1,Mississippi State,Illegal Formation,Procedural,3,30.0,10.0
1,Mississippi State,Other / Unclassified,Administrative,1,5.0,5.0
1,Mississippi State,Pass Interference,Personal / Contact,1,15.0,15.0
1,Missouri,False Start,Procedural,2,10.0,5.0
1,Missouri,Holding,Blocking / Holding,2,12.0,6.0
1,Missouri,Other / Unclassified,Blocking / Holding,1,10.0,10.0
1,Missouri,Other / Unclassified,Other,2,12.0,6.0
1,Missouri,Pass Interference,Personal / Contact,2,23.0,11.5
1,Missouri,Personal Foul,Personal / Contact,1,15.0,15.0
1,Missouri State,False Start,Procedural,1,5.0,5.0
1,Missouri State,Other / Unclassified,Administrative,1,18.0,18.0
1,Missouri State,Other / Unclassified,Procedural,2,0.0,0.0
1,NC State,False Start,Procedural,3,13.0,4.33
1,NC State,Holding,Blocking / Holding,2,6.0,3.0
1,NC State,Personal Foul,Personal / Contact,1,15.0,15.0
1,Navy,Delay of Game,Procedural,2,10.0,5.0
1,Navy,Holding,Blocking / Holding,1,6.0,6.0
1,Navy,Offside,Procedural,1,0.0,0.0
1,Navy,Other / Unclassified,Other,1,15.0,15.0
1,Nebraska,Delay of Game,Procedural,1,0.0,0.0
1,Nebraska,False Start,Procedural,1,4.0,4.0
1,Nebraska,Personal Foul,Personal / Contact,1,13.0,13.0
1,Nevada,False Start,Procedural,2,9.0,4.5
1,Nevada,Holding,Blocking / Holding,1,0.0,0.0
1,Nevada,Offside,Procedural,1,5.0,5.0
1,Nevada,Pass Interference,Personal / Contact,2,15.0,7.5
1,New Mexico,False Start,Procedural,1,5.0,5.0
1,New Mexico,Pass Interference,Personal / Contact,1,15.0,15.0
1,New Mexico,Targeting,Personal / Contact,1,12.0,12.0
1,New Mexico State,False Start,Procedural,2,10.0,5.0
1,New Mexico State,Holding,Blocking / Holding,2,5.0,2.5
1,New Mexico State,Offside,Procedural,1,5.0,5.0
1,New Mexico State,Other / Unclassified,Administrative,1,5.0,5.0
1,New Mexico State,Other / Unclassified,Other,1,15.0,15.0
1,New Mexico State,Personal Foul,Personal / Contact,1,0.0,0.0
1,North Carolina,Delay of Game,Procedural,1,5.0,5.0
1,North Carolina,False Start,Procedural,1,0.0,0.0
1,North Texas,False Start,Procedural,1,5.0,5.0
1,North Texas,Holding,Blocking / Holding,1,10.0,10.0
1,North Texas,Other / Unclassified,Other,1,5.0,5.0
1,North Texas,Pass Interference,Personal / Contact,1,15.0,15.0
1,Northern Illinois,Delay of Game,Procedural,2,10.0,5.0
1,Northern Illinois,False Start,Procedural,3,15.0,5.0
1,Northern Illinois,Other / Unclassified,Administrative,1,5.0,5.0
1,Northern Illinois,Other / Unclassified,Blocking / Holding,1,8.0,8.0
1,Northwestern,False Start,Procedural,2,5.0,2.5
1,Northwestern,Holding,Blocking / Holding,2,27.0,13.5
1,Northwestern,Other / Unclassified,Other,1,0.0,0.0
1,Northwestern,Pass Interference,Personal / Contact,1,15.0,15.0
1,Notre Dame,False Start,Procedural,1,5.0,5.0
1,Notre Dame,Holding,Blocking / Holding,1,10.0,10.0
1,Notre Dame,Other / Unclassified,Other,2,18.0,9.0
1,Notre Dame,Personal Foul,Personal / Contact,1,0.0,0.0
1,Ohio,Delay of Game,Procedural,1,5.0,5.0
1,Ohio,Face Mask,Other,2,30.0,15.0
1,Ohio,False Start,Procedural,5,5.0,1.0
1,Ohio State,Holding,Blocking / Holding,2,3.0,1.5
1,Ohio State,Illegal Formation,Procedural,1,5.0,5.0
1,Oklahoma,False Start,Procedural,2,10.0,5.0
1,Oklahoma,Holding,Blocking / Holding,2,10.0,5.0
1,Oklahoma,Illegal Formation,Procedural,1,2.0,2.0
1,Oklahoma,Offside,Procedural,1,0.0,0.0
1,Oklahoma,Pass Interference,Personal / Contact,1,0.0,0.0
1,Oklahoma State,False Start,Procedural,1,0.0,0.0
1,Oklahoma State,Holding,Blocking / Holding,2,0.0,0.0
1,Oklahoma State,Other / Unclassified,Administrative,1,0.0,0.0
1,Oklahoma State,Personal Foul,Personal / Contact,2,0.0,0.0
1,Old Dominion,False Start,Procedural,2,10.0,5.0
1,Old Dominion,Illegal Formation,Procedural,1,5.0,5.0
1,Old Dominion,Other / Unclassified,Blocking / Holding,1,0.0,0.0
1,Old Dominion,Other / Unclassified,Other,1,22.0,22.0
1,Ole Miss,Delay of Game,Procedural,1,5.0,5.0
1,Ole Miss,False Start,Procedural,2,8.0,4.0
1,Ole Miss,Holding,Blocking / Holding,2,20.0,10.0
1,Ole Miss,Illegal Formation,Procedural,1,55.0,55.0
1,Ole Miss,Offside,Procedural,1,2.0,2.0
1,Oregon,Holding,Blocking / Holding,1,5.0,5.0
1,Oregon,Pass Interference,Personal / Contact,1,14.0,14.0
1,Oregon,Roughing the Passer,Personal / Contact,1,0.0,0.0
1,Oregon State,Offside,Procedural,1,0.0,0.0
1,Penn State,Delay of Game,Procedural,1,5.0,5.0
1,Penn State,Holding,Blocking / Holding,1,1.0,1.0
1,Penn State,Offside,Procedural,1,5.0,5.0
1,Penn State,Other / Unclassified,Blocking / Holding,1,0.0,0.0
1,Pittsburgh,False Start,Procedural,1,5.0,5.0
1,Pittsburgh,Pass Interference,Personal / Contact,1,13.0,13.0
1,Pittsburgh,Unsportsmanlike Conduct,Personal / Contact,1,15.0,15.0
1,Purdue,False Start,Procedural,1,5.0,5.0
1,Purdue,Holding,Blocking / Holding,1,10.0,10.0
1,Purdue,Other / Unclassified,Administrative,1,0.0,0.0
1,Purdue,Personal Foul,Personal / Contact,1,1.0,1.0
1,Rice,Face Mask,Other,1,6.0,6.0
1,Rice,Illegal Formation,Procedural,1,0.0,0.0
1,Rice,Other / Unclassified,Administrative,1,5.0,5.0
1,Rice,Other / Unclassified,Blocking / Holding,1,10.0,10.0
1,Rutgers,Delay of Game,Procedural,1,5.0,5.0
1,Rutgers,False Start,Procedural,2,10.0,5.0
1,Rutgers,Holding,Blocking / Holding,1,0.0,0.0
1,Rutgers,Other / Unclassified,Blocking / Holding,1,0.0,0.0
1,SMU,Holding,Blocking / Holding,4,21.0,5.25
1,SMU,Offside,Procedural,1,5.0,5.0
1,SMU,Other / Unclassified,Administrative,1,4.0,4.0
1,SMU,Personal Foul,Personal / Contact,1,15.0,15.0
1,SMU,Roughing the Passer,Personal / Contact,1,0.0,0.0
1,SMU,Unsportsmanlike Conduct,Personal / Contact,2,30.0,15.0
1,Sam Houston,Delay of Game,Procedural,2,10.0,5.0
1,Sam Houston,Face Mask,Other,1,15.0,15.0
1,Sam Houston,False Start,Procedural,2,10.0,5.0
1,Sam Houston,Holding,Blocking / Holding,2,12.0,6.0
1,Sam Houston,Other / Unclassified,Administrative,1,5.0,5.0
1,Sam Houston,Other / Unclassified,Other,3,0.0,0.0
1,Sam Houston,Pass Interference,Personal / Contact,4,21.0,5.25
1,San Diego State,False Start,Procedural,2,10.0,5.0
1,San Diego State,Holding,Blocking / Holding,1,7.0,7.0
1,San Diego State,Other / Unclassified,Administrative,2,18.0,9.0
1,San Diego State,Other / Unclassified,Other,1,0.0,0.0
1,San Diego State,Unsportsmanlike Conduct,Personal / Contact,1,15.0,15.0
1,San Jose St,Holding,Blocking / Holding,1,5.0,5.0
1,San Jose St,Illegal Formation,Procedural,1,48.0,48.0
1,San Jose St,Other / Unclassified,Administrative,1,5.0,5.0
1,San Jose St,Other / Unclassified,Other,2,24.0,12.0
1,South Alabama,Delay of Game,Procedural,2,10.0,5.0
1,South Alabama,False Start,Procedural,2,10.0,5.0
1,South Alabama,Holding,Blocking / Holding,1,5.0,5.0
1,South Alabama,Illegal Formation,Procedural,1,53.0,53.0
1,South Alabama,Pass Interference,Personal / Contact,1,11.0,11.0
1,South Alabama,Roughing the Passer,Personal / Contact,1,0.0,0.0
1,South Carolina,Delay of Game,Procedural,1,5.0,5.0
1,South Carolina,False Start,Procedural,2,10.0,5.0
1,South Carolina,Holding,Blocking / Holding,1,0.0,0.0
1,South Carolina,Personal Foul,Personal / Contact,1,0.0,0.0
1,South Florida,False Start,Procedural,2,10.0,5.0
1,South Florida,Holding,Blocking / Holding,2,52.0,26.0
1,South Florida,Offside,Procedural,1,5.0,5.0
1,South Florida,Other / Unclassified,Other,1,15.0,15.0
1,South Florida,Pass Interference,Personal / Contact,1,6.0,6.0
1,South Florida,Roughing,Personal / Contact,1,11.0,11.0
1,Southern Miss,Delay of Game,Procedural,1,5.0,5.0
1,Southern Miss,False Start,Procedural,1,5.0,5.0
1,Southern Miss,Holding,Blocking / Holding,1,0.0,0.0
1,Southern Miss,Offside,Procedural,1,5.0,5.0
1,Southern Miss,Pass Interference,Personal / Contact,2,15.0,7.5
1,Southern Miss,Personal Foul,Personal / Contact,3,23.0,7.67
1,Stanford,Delay of Game,Procedural,1,0.0,0.0
1,Stanford,Face Mask,Other,1,15.0,15.0
1,Stanford,Holding,Blocking / Holding,1,0.0,0.0
1,Stanford,Other / Unclassified,Other,1,13.0,13.0
1,Stanford,Pass Interference,Personal / Contact,1,0.0,0.0
1,Stanford,Personal Foul,Personal / Contact,1,0.0,0.0
1,Stanford,Roughing,Personal / Contact,1,0.0,0.0
1,Syracuse,Delay of Game,Procedural,1,5.0,5.0
1,Syracuse,Offside,Procedural,1,5.0,5.0
1,Syracuse,Other / Unclassified,Procedural,1,5.0,5.0
1,Syracuse,Pass Interference,Personal / Contact,2,30.0,15.0
1,TCU,False Start,Procedural,1,0.0,0.0
1,TCU,Holding,Blocking / Holding,1,21.0,21.0
1,TCU,Pass Interference,Personal / Contact,3,41.0,13.67
1,TCU,Unsportsmanlike Conduct,Personal / Contact,1,0.0,0.0
1,Temple,Holding,Blocking / Holding,1,12.0,12.0
1,Temple,Offside,Procedural,1,1.0,1.0
1,Temple,Other / Unclassified,Other,3,17.0,5.67
1,Tennessee,False Start,Procedural,2,10.0,5.0
1,Tennessee,Offside,Procedural,1,5.0,5.0
1,Tennessee,Other / Unclassified,Administrative,1,5.0,5.0
1,Tennessee,Other / Unclassified,Blocking / Holding,1,15.0,15.0
1,Tennessee,Pass Interference,Personal / Contact,1,15.0,15.0
1,Texas,Face Mask,Other,1,15.0,15.0
1,Texas,False Start,Procedural,3,15.0,5.0
1,Texas,Holding,Blocking / Holding,2,20.0,10.0
1,Texas A&M,Delay of Game,Procedural,1,5.0,5.0
1,Texas A&M,False Start,Procedural,1,5.0,5.0
1,Texas A&M,Holding,Blocking / Holding,3,10.0,3.33
1,Texas A&M,Other / Unclassified,Administrative,1,7.0,7.0
1,Texas State,Offside,Procedural,2,10.0,5.0
1,Texas Tech,False Start,Procedural,1,5.0,5.0
1,Texas Tech,Holding,Blocking / Holding,4,54.0,13.5
1,Texas Tech,Offside,Procedural,2,10.0,5.0
1,Texas Tech,Pass Interference,Personal / Contact,1,15.0,15.0
1,Texas Tech,Personal Foul,Personal / Contact,1,0.0,0.0
1,Texas Tech,Roughing the Passer,Personal / Contact,1,12.0,12.0
1,Toledo,False Start,Procedural,2,10.0,5.0
