offense,conference,penalty_type,total_penalties,total_yards,average_yards_per_penalty,AP_Rank,Coaches_Rank,CFP_Rank,Penalty_Category,penalty_enforced,penalty_declined_or_offset
Air Force,MWC,Holding,15,54.0,3.6,,,,Holding/Blocking,1,0
Air Force,MWC,False Start,7,30.0,4.29,,,,Procedural,1,0
Air Force,MWC,Other / Unclassified,6,32.0,5.33,,,,Other,1,0
Air Force,MWC,Face Mask,4,21.0,5.25,,,,Other,1,0
Air Force,MWC,Illegal Formation,3,11.0,3.67,,,,Procedural,1,0
Air Force,MWC,Offside,3,10.0,3.33,,,,Procedural,1,0
Air Force,MWC,Pass Interference,2,25.0,12.5,,,,Pass/Coverage,1,0
Air Force,MWC,Roughing the Passer,2,28.0,14.0,,,,Personal Foul,1,0
Air Force,MWC,Personal Foul,1,1.0,1.0,,,,Personal Foul,1,0
Air Force,MWC,Unsportsmanlike Conduct,1,0.0,0.0,,,,Personal Foul,0,1
Akron,MAC,False Start,12,105.0,8.75,,,,Procedural,1,0
Akron,MAC,Other / Unclassified,8,12.0,1.5,,,,Other,1,0
Akron,MAC,Pass Interference,8,126.0,15.75,,,,Pass/Coverage,1,0
Akron,MAC,Holding,7,84.0,12.0,,,,Holding/Blocking,1,0
Akron,MAC,Personal Foul,7,90.0,12.86,,,,Personal Foul,1,0
Akron,MAC,Delay of Game,6,20.0,3.33,,,,Procedural,1,0
Akron,MAC,Face Mask,6,102.0,17.0,,,,Other,1,0
Akron,MAC,Offside,4,10.0,2.5,,,,Procedural,1,0
Akron,MAC,Unsportsmanlike Conduct,2,15.0,7.5,,,,Personal Foul,1,0
Akron,MAC,Illegal Formation,1,49.0,49.0,,,,Procedural,1,0
Akron,MAC,Roughing the Passer,1,15.0,15.0,,,,Personal Foul,1,0
Akron,MAC,Targeting,1,15.0,15.0,,,,Personal Foul,1,0
Alabama,SEC,Holding,10,84.0,8.4,4.0,4.0,4.0,Holding/Blocking,1,0
Alabama,SEC,False Start,9,20.0,2.22,4.0,4.0,4.0,Procedural,1,0
Alabama,SEC,Offside,7,25.0,3.57,4.0,4.0,4.0,Procedural,1,0
Alabama,SEC,Personal Foul,7,102.0,14.57,4.0,4.0,4.0,Personal Foul,1,0
Alabama,SEC,Pass Interference,5,102.0,20.4,4.0,4.0,4.0,Pass/Coverage,1,0
Alabama,SEC,Delay of Game,3,15.0,5.0,4.0,4.0,4.0,Procedural,1,0
Alabama,SEC,Other / Unclassified,3,10.0,3.33,4.0,4.0,4.0,Other,1,0
Alabama,SEC,Unsportsmanlike Conduct,2,5.0,2.5,4.0,4.0,4.0,Personal Foul,1,0
Alabama,SEC,Illegal Formation,1,28.0,28.0,4.0,4.0,4.0,Procedural,1,0
Alabama,SEC,Illegal Motion,1,5.0,5.0,4.0,4.0,4.0,Procedural,1,0
Alabama,SEC,Roughing,1,0.0,0.0,4.0,4.0,4.0,Personal Foul,0,1
Alabama,SEC,Targeting,1,15.0,15.0,4.0,4.0,4.0,Personal Foul,1,0
App State,SBC,Pass Interference,11,76.0,6.91,,,,Pass/Coverage,1,0
App State,SBC,False Start,10,50.0,5.0,,,,Procedural,1,0
App State,SBC,Holding,9,31.0,3.44,,,,Holding/Blocking,1,0
App State,SBC,Delay of Game,5,20.0,4.0,,,,Procedural,1,0
App State,SBC,Face Mask,4,56.0,14.0,,,,Other,1,0
App State,SBC,Roughing the Passer,4,30.0,7.5,,,,Personal Foul,1,0
App State,SBC,Offside,3,37.0,12.33,,,,Procedural,1,0
App State,SBC,Unsportsmanlike Conduct,3,39.0,13.0,,,,Personal Foul,1,0
App State,SBC,Illegal Formation,2,13.0,6.5,,,,Procedural,1,0
App State,SBC,Other / Unclassified,1,5.0,5.0,,,,Other,1,0
Arizona,Big 12,Holding,27,169.0,6.26,,,,Holding/Blocking,1,0
Arizona,Big 12,Offside,7,21.0,3.0,,,,Procedural,1,0
Arizona,Big 12,Other / Unclassified,7,62.0,8.86,,,,Other,1,0
Arizona,Big 12,False Start,6,30.0,5.0,,,,Procedural,1,0
Arizona,Big 12,Pass Interference,5,20.0,4.0,,,,Pass/Coverage,1,0
Arizona,Big 12,Face Mask,3,43.0,14.33,,,,Other,1,0
Arizona,Big 12,Roughing the Passer,3,45.0,15.0,,,,Personal Foul,1,0
Arizona,Big 12,Targeting,2,15.0,7.5,,,,Personal Foul,1,0
Arizona,Big 12,Personal Foul,1,0.0,0.0,,,,Personal Foul,0,1
Arizona State,Big 12,Holding,21,142.0,6.76,,,,Holding/Blocking,1,0
Arizona State,Big 12,False Start,13,56.0,4.31,,,,Procedural,1,0
Arizona State,Big 12,Pass Interference,12,110.0,9.17,,,,Pass/Coverage,1,0
Arizona State,Big 12,Other / Unclassified,10,164.0,16.4,,,,Other,1,0
Arizona State,Big 12,Delay of Game,6,20.0,3.33,,,,Procedural,1,0
Arizona State,Big 12,Personal Foul,4,30.0,7.5,,,,Personal Foul,1,0
Arizona State,Big 12,Illegal Formation,2,9.0,4.5,,,,Procedural,1,0
Arizona State,Big 12,Offside,2,42.0,21.0,,,,Procedural,1,0
Arizona State,Big 12,Roughing the Passer,2,3.0,1.5,,,,Personal Foul,1,0
Arizona State,Big 12,Roughing,1,0.0,0.0,,,,Personal Foul,0,1
Arizona State,Big 12,Unsportsmanlike Conduct,1,9.0,9.0,,,,Personal Foul,1,0
Arkansas,SEC,Holding,21,207.0,9.86,,,,Holding/Blocking,1,0
Arkansas,SEC,Other / Unclassified,7,52.0,7.43,,,,Other,1,0
Arkansas,SEC,False Start,5,25.0,5.0,,,,Procedural,1,0
Arkansas,SEC,Personal Foul,5,131.0,26.2,,,,Personal Foul,1,0
Arkansas,SEC,Pass Interference,4,48.0,12.0,,,,Pass/Coverage,1,0
Arkansas,SEC,Face Mask,2,45.0,22.5,,,,Other,1,0
Arkansas,SEC,Illegal Formation,2,16.0,8.0,,,,Procedural,1,0
Arkansas,SEC,Offside,2,5.0,2.5,,,,Procedural,1,0
Arkansas,SEC,Unsportsmanlike Conduct,2,30.0,15.0,,,,Personal Foul,1,0
Arkansas,SEC,Illegal Motion,1,9.0,9.0,,,,Procedural,1,0
Arkansas State,SBC,Holding,25,201.0,8.04,,,,Holding/Blocking,1,0
Arkansas State,SBC,Pass Interference,23,117.0,5.09,,,,Pass/Coverage,1,0
Arkansas State,SBC,False Start,22,45.0,2.05,,,,Procedural,1,0
Arkansas State,SBC,Other / Unclassified,8,30.0,3.75,,,,Other,1,0
Arkansas State,SBC,Personal Foul,7,51.0,7.29,,,,Personal Foul,1,0
Arkansas State,SBC,Illegal Formation,3,47.0,15.67,,,,Procedural,1,0
Arkansas State,SBC,Offside,2,24.0,12.0,,,,Procedural,1,0
Arkansas State,SBC,Roughing,2,0.0,0.0,,,,Personal Foul,0,1
Army,American,Other / Unclassified,9,179.0,19.89,,,,Other,1,0
Army,American,False Start,8,25.0,3.12,,,,Procedural,1,0
Army,American,Holding,6,36.0,6.0,,,,Holding/Blocking,1,0
Army,American,Offside,5,12.0,2.4,,,,Procedural,1,0
Army,American,Pass Interference,5,68.0,13.6,,,,Pass/Coverage,1,0
Army,American,Face Mask,2,30.0,15.0,,,,Other,1,0
Army,American,Personal Foul,2,20.0,10.0,,,,Personal Foul,1,0
Army,American,Illegal Formation,1,16.0,16.0,,,,Procedural,1,0
Auburn,SEC,False Start,22,55.0,2.5,,,,Procedural,1,0
Auburn,SEC,Holding,22,170.0,7.73,,,,Holding/Blocking,1,0
Auburn,SEC,Pass Interference,8,46.0,5.75,,,,Pass/Coverage,1,0
Auburn,SEC,Other / Unclassified,7,8.0,1.14,,,,Other,1,0
Auburn,SEC,Delay of Game,4,15.0,3.75,,,,Procedural,1,0
Auburn,SEC,Illegal Formation,2,39.0,19.5,,,,Procedural,1,0
Auburn,SEC,Offside,2,5.0,2.5,,,,Procedural,1,0
Auburn,SEC,Personal Foul,2,0.0,0.0,,,,Personal Foul,0,1
Auburn,SEC,Roughing the Passer,2,15.0,7.5,,,,Personal Foul,1,0
Auburn,SEC,Face Mask,1,10.0,10.0,,,,Other,1,0
BYU,Big 12,Holding,17,127.0,7.47,12.0,12.0,12.0,Holding/Blocking,1,0
BYU,Big 12,False Start,14,62.0,4.43,12.0,12.0,12.0,Procedural,1,0
BYU,Big 12,Pass Interference,8,89.0,11.12,12.0,12.0,12.0,Pass/Coverage,1,0
BYU,Big 12,Delay of Game,4,20.0,5.0,12.0,12.0,12.0,Procedural,1,0
BYU,Big 12,Personal Foul,4,7.0,1.75,12.0,12.0,12.0,Personal Foul,1,0
BYU,Big 12,Other / Unclassified,3,11.0,3.67,12.0,12.0,12.0,Other,1,0
BYU,Big 12,Face Mask,2,10.0,5.0,12.0,12.0,12.0,Other,1,0
BYU,Big 12,Offside,2,5.0,2.5,12.0,12.0,12.0,Procedural,1,0
BYU,Big 12,Illegal Formation,1,42.0,42.0,12.0,12.0,12.0,Procedural,1,0
BYU,Big 12,Targeting,1,0.0,0.0,12.0,12.0,12.0,Personal Foul,0,1
Ball State,MAC,False Start,10,48.0,4.8,,,,Procedural,1,0
Ball State,MAC,Offside,10,49.0,4.9,,,,Procedural,1,0
Ball State,MAC,Holding,7,46.0,6.57,,,,Holding/Blocking,1,0
Ball State,MAC,Personal Foul,7,22.0,3.14,,,,Personal Foul,1,0
Ball State,MAC,Pass Interference,6,80.0,13.33,,,,Pass/Coverage,1,0
Ball State,MAC,Delay of Game,5,25.0,5.0,,,,Procedural,1,0
Ball State,MAC,Other / Unclassified,3,15.0,5.0,,,,Other,1,0
Ball State,MAC,Unsportsmanlike Conduct,3,36.0,12.0,,,,Personal Foul,1,0
Ball State,MAC,Face Mask,2,11.0,5.5,,,,Other,1,0
Ball State,MAC,Illegal Formation,1,5.0,5.0,,,,Procedural,1,0
Baylor,Big 12,Holding,27,131.0,4.85,,,,Holding/Blocking,1,0
Baylor,Big 12,Pass Interference,19,166.0,8.74,,,,Pass/Coverage,1,0
Baylor,Big 12,Other / Unclassified,6,24.0,4.0,,,,Other,1,0
Baylor,Big 12,False Start,2,10.0,5.0,,,,Procedural,1,0
Baylor,Big 12,Personal Foul,2,15.0,7.5,,,,Personal Foul,1,0
Baylor,Big 12,Illegal Formation,1,2.0,2.0,,,,Procedural,1,0
Baylor,Big 12,Roughing the Passer,1,0.0,0.0,,,,Personal Foul,0,1
Baylor,Big 12,Unsportsmanlike Conduct,1,0.0,0.0,,,,Personal Foul,0,1
Boise State,MWC,False Start,22,105.0,4.77,,,,Procedural,1,0
Boise State,MWC,Holding,16,180.0,11.25,,,,Holding/Blocking,1,0
Boise State,MWC,Other / Unclassified,12,87.0,7.25,,,,Other,1,0
Boise State,MWC,Offside,7,52.0,7.43,,,,Procedural,1,0
Boise State,MWC,Pass Interference,7,73.0,10.43,,,,Pass/Coverage,1,0
Boise State,MWC,Delay of Game,3,11.0,3.67,,,,Procedural,1,0
Boise State,MWC,Face Mask,2,25.0,12.5,,,,Other,1,0
Boise State,MWC,Personal Foul,2,8.0,4.0,,,,Personal Foul,1,0
Boise State,MWC,Illegal Formation,1,5.0,5.0,,,,Procedural,1,0
Boise State,MWC,Roughing,1,11.0,11.0,,,,Personal Foul,1,0
Boise State,MWC,Roughing the Passer,1,15.0,15.0,,,,Personal Foul,1,0
Boise State,MWC,Unsportsmanlike Conduct,1,15.0,15.0,,,,Personal Foul,1,0
Boston College,ACC,False Start,15,50.0,3.33,,,,Procedural,1,0
Boston College,ACC,Other / Unclassified,11,162.0,14.73,,,,Other,1,0
Boston College,ACC,Holding,8,63.0,7.88,,,,Holding/Blocking,1,0
Boston College,ACC,Personal Foul,6,51.0,8.5,,,,Personal Foul,1,0
Boston College,ACC,Offside,5,22.0,4.4,,,,Procedural,1,0
Boston College,ACC,Pass Interference,5,0.0,0.0,,,,Pass/Coverage,0,1
Boston College,ACC,Unsportsmanlike Conduct,5,21.0,4.2,,,,Personal Foul,1,0
Boston College,ACC,Targeting,3,44.0,14.67,,,,Personal Foul,1,0
Boston College,ACC,Delay of Game,2,10.0,5.0,,,,Procedural,1,0
Boston College,ACC,Roughing,1,0.0,0.0,,,,Personal Foul,0,1
Boston College,ACC,Roughing the Passer,1,25.0,25.0,,,,Personal Foul,1,0
Bowling Green,MAC,Other / Unclassified,12,83.0,6.92,,,,Other,1,0
Bowling Green,MAC,False Start,10,50.0,5.0,,,,Procedural,1,0
Bowling Green,MAC,Holding,8,105.0,13.12,,,,Holding/Blocking,1,0
Bowling Green,MAC,Pass Interference,8,111.0,13.88,,,,Pass/Coverage,1,0
Bowling Green,MAC,Delay of Game,7,33.0,4.71,,,,Procedural,1,0
Bowling Green,MAC,Offside,6,29.0,4.83,,,,Procedural,1,0
Bowling Green,MAC,Unsportsmanlike Conduct,3,15.0,5.0,,,,Personal Foul,1,0
Bowling Green,MAC,Personal Foul,2,0.0,0.0,,,,Personal Foul,0,1
Bowling Green,MAC,Face Mask,1,26.0,26.0,,,,Other,1,0
Bowling Green,MAC,Illegal Formation,1,2.0,2.0,,,,Procedural,1,0
Buffalo,MAC,False Start,11,25.0,2.27,,,,Procedural,1,0
Buffalo,MAC,Pass Interference,10,103.0,10.3,,,,Pass/Coverage,1,0
Buffalo,MAC,Holding,9,76.0,8.44,,,,Holding/Blocking,1,0
Buffalo,MAC,Other / Unclassified,4,8.0,2.0,,,,Other,1,0
Buffalo,MAC,Delay of Game,3,10.0,3.33,,,,Procedural,1,0
Buffalo,MAC,Illegal Formation,2,0.0,0.0,,,,Procedural,0,1
Buffalo,MAC,Offside,2,10.0,5.0,,,,Procedural,1,0
Buffalo,MAC,Personal Foul,1,12.0,12.0,,,,Personal Foul,1,0
Buffalo,MAC,Unsportsmanlike Conduct,1,0.0,0.0,,,,Personal Foul,0,1
C Michigan,MAC,False Start,16,60.0,3.75,,,,Procedural,1,0
C Michigan,MAC,Other / Unclassified,14,82.0,5.86,,,,Other,1,0
C Michigan,MAC,Holding,8,37.0,4.62,,,,Holding/Blocking,1,0
C Michigan,MAC,Offside,8,48.0,6.0,,,,Procedural,1,0
C Michigan,MAC,Unsportsmanlike Conduct,4,19.0,4.75,,,,Personal Foul,1,0
C Michigan,MAC,Delay of Game,3,10.0,3.33,,,,Procedural,1,0
C Michigan,MAC,Face Mask,2,25.0,12.5,,,,Other,1,0
C Michigan,MAC,Pass Interference,1,8.0,8.0,,,,Pass/Coverage,1,0
C Michigan,MAC,Personal Foul,1,1.0,1.0,,,,Personal Foul,1,0
C Michigan,MAC,Roughing,1,0.0,0.0,,,,Personal Foul,0,1
C Michigan,MAC,Roughing the Passer,1,6.0,6.0,,,,Personal Foul,1,0
C Michigan,MAC,Targeting,1,2.0,2.0,,,,Personal Foul,1,0
California,ACC,False Start,24,120.0,5.0,,,,Procedural,1,0
California,ACC,Other / Unclassified,17,119.0,7.0,,,,Other,1,0
California,ACC,Holding,15,113.0,7.53,,,,Holding/Blocking,1,0
California,ACC,Pass Interference,10,90.0,9.0,,,,Pass/Coverage,1,0
California,ACC,Offside,9,53.0,5.89,,,,Procedural,1,0
California,ACC,Face Mask,3,30.0,10.0,,,,Other,1,0
California,ACC,Illegal Formation,2,13.0,6.5,,,,Procedural,1,0
California,ACC,Personal Foul,2,15.0,7.5,,,,Personal Foul,1,0
California,ACC,Targeting,2,35.0,17.5,,,,Personal Foul,1,0
California,ACC,Roughing the Passer,1,8.0,8.0,,,,Personal Foul,1,0
California,ACC,Unsportsmanlike Conduct,1,0.0,0.0,,,,Personal Foul,0,1
Charlotte,American,False Start,15,53.0,3.53,,,,Procedural,1,0
Charlotte,American,Holding,12,127.0,10.58,,,,Holding/Blocking,1,0
Charlotte,American,Personal Foul,10,69.0,6.9,,,,Personal Foul,1,0
Charlotte,American,Pass Interference,6,70.0,11.67,,,,Pass/Coverage,1,0
Charlotte,American,Other / Unclassified,4,29.0,7.25,,,,Other,1,0
Charlotte,American,Offside,2,5.0,2.5,,,,Procedural,1,0
Charlotte,American,Delay of Game,1,5.0,5.0,,,,Procedural,1,0
Charlotte,American,Face Mask,1,15.0,15.0,,,,Other,1,0
Charlotte,American,Illegal Formation,1,5.0,5.0,,,,Procedural,1,0
Charlotte,American,Roughing,1,0.0,0.0,,,,Personal Foul,0,1
Charlotte,American,Roughing the Passer,1,0.0,0.0,,,,Personal Foul,0,1
Cincinnati,Big 12,Holding,17,139.0,8.18,22.0,22.0,25.0,Holding/Blocking,1,0
Cincinnati,Big 12,False Start,10,50.0,5.0,22.0,22.0,25.0,Procedural,1,0
Cincinnati,Big 12,Other / Unclassified,5,120.0,24.0,22.0,22.0,25.0,Other,1,0
Cincinnati,Big 12,Pass Interference,5,58.0,11.6,22.0,22.0,25.0,Pass/Coverage,1,0
Cincinnati,Big 12,Personal Foul,4,90.0,22.5,22.0,22.0,25.0,Personal Foul,1,0
Cincinnati,Big 12,Delay of Game,3,15.0,5.0,22.0,22.0,25.0,Procedural,1,0
Cincinnati,Big 12,Offside,3,9.0,3.0,22.0,22.0,25.0,Procedural,1,0
Cincinnati,Big 12,Face Mask,1,15.0,15.0,22.0,22.0,25.0,Other,1,0
Cincinnati,Big 12,Roughing,1,0.0,0.0,22.0,22.0,25.0,Personal Foul,0,1
Cincinnati,Big 12,Targeting,1,7.0,7.0,22.0,22.0,25.0,Personal Foul,1,0
Clemson,ACC,Holding,11,139.0,12.64,,,,Holding/Blocking,1,0
Clemson,ACC,Pass Interference,9,74.0,8.22,,,,Pass/Coverage,1,0
Clemson,ACC,Other / Unclassified,8,86.0,10.75,,,,Other,1,0
Clemson,ACC,False Start,7,30.0,4.29,,,,Procedural,1,0
Clemson,ACC,Offside,3,10.0,3.33,,,,Procedural,1,0
Clemson,ACC,Unsportsmanlike Conduct,3,15.0,5.0,,,,Personal Foul,1,0
Clemson,ACC,Delay of Game,1,5.0,5.0,,,,Procedural,1,0
Clemson,ACC,Personal Foul,1,0.0,0.0,,,,Personal Foul,0,1
Coastal Carolina,SBC,Holding,20,361.0,18.05,,,,Holding/Blocking,1,0
Coastal Carolina,SBC,Offside,10,39.0,3.9,,,,Procedural,1,0
Coastal Carolina,SBC,False Start,9,45.0,5.0,,,,Procedural,1,0
Coastal Carolina,SBC,Other / Unclassified,8,178.0,22.25,,,,Other,1,0
Coastal Carolina,SBC,Pass Interference,5,66.0,13.2,,,,Pass/Coverage,1,0
Coastal Carolina,SBC,Face Mask,3,23.0,7.67,,,,Other,1,0
Coastal Carolina,SBC,Delay of Game,2,10.0,5.0,,,,Procedural,1,0
Coastal Carolina,SBC,Illegal Formation,2,47.0,23.5,,,,Procedural,1,0
Coastal Carolina,SBC,Personal Foul,2,15.0,7.5,,,,Personal Foul,1,0
Coastal Carolina,SBC,Roughing the Passer,2,15.0,7.5,,,,Personal Foul,1,0
Coastal Carolina,SBC,Illegal Motion,1,0.0,0.0,,,,Procedural,0,1
Coastal Carolina,SBC,Targeting,1,15.0,15.0,,,,Personal Foul,1,0
Coastal Carolina,SBC,Unsportsmanlike Conduct,1,0.0,0.0,,,,Personal Foul,0,1
Colorado,Big 12,Holding,16,245.0,15.31,,,,Holding/Blocking,1,0
Colorado,Big 12,Delay of Game,9,40.0,4.44,,,,Procedural,1,0
Colorado,Big 12,False Start,9,45.0,5.0,,,,Procedural,1,0
Colorado,Big 12,Other / Unclassified,9,159.0,17.67,,,,Other,1,0
Colorado,Big 12,Pass Interference,7,90.0,12.86,,,,Pass/Coverage,1,0
Colorado,Big 12,Face Mask,5,55.0,11.0,,,,Other,1,0
Colorado,Big 12,Offside,3,17.0,5.67,,,,Procedural,1,0
Colorado,Big 12,Unsportsmanlike Conduct,3,25.0,8.33,,,,Personal Foul,1,0
Colorado,Big 12,Personal Foul,2,1.0,0.5,,,,Personal Foul,1,0
Colorado,Big 12,Illegal Formation,1,2.0,2.0,,,,Procedural,1,0
Colorado,Big 12,Roughing the Passer,1,15.0,15.0,,,,Personal Foul,1,0
Colorado State,MWC,Holding,15,240.0,16.0,,,,Holding/Blocking,1,0
Colorado State,MWC,False Start,12,60.0,5.0,,,,Procedural,1,0
Colorado State,MWC,Pass Interference,9,104.0,11.56,,,,Pass/Coverage,1,0
Colorado State,MWC,Other / Unclassified,6,38.0,6.33,,,,Other,1,0
Colorado State,MWC,Personal Foul,4,31.0,7.75,,,,Personal Foul,1,0
Colorado State,MWC,Face Mask,3,21.0,7.0,,,,Other,1,0
Colorado State,MWC,Illegal Formation,2,7.0,3.5,,,,Procedural,1,0
Colorado State,MWC,Offside,2,7.0,3.5,,,,Procedural,1,0
Colorado State,MWC,Delay of Game,1,5.0,5.0,,,,Procedural,1,0
Delaware,CUSA,Other / Unclassified,17,151.0,8.88,,,,Other,1,0
Delaware,CUSA,Holding,15,234.0,15.6,,,,Holding/Blocking,1,0
Delaware,CUSA,Pass Interference,11,114.0,10.36,,,,Pass/Coverage,1,0
Delaware,CUSA,False Start,5,25.0,5.0,,,,Procedural,1,0
Delaware,CUSA,Face Mask,4,48.0,12.0,,,,Other,1,0
Delaware,CUSA,Unsportsmanlike Conduct,3,30.0,10.0,,,,Personal Foul,1,0
Delaware,CUSA,Delay of Game,2,5.0,2.5,,,,Procedural,1,0
Delaware,CUSA,Offside,2,30.0,15.0,,,,Procedural,1,0
Delaware,CUSA,Illegal Formation,1,7.0,7.0,,,,Procedural,1,0
Delaware,CUSA,Personal Foul,1,22.0,22.0,,,,Personal Foul,1,0
Duke,ACC,Pass Interference,14,145.0,10.36,,,,Pass/Coverage,1,0
Duke,ACC,Holding,11,82.0,7.45,,,,Holding/Blocking,1,0
Duke,ACC,False Start,7,37.0,5.29,,,,Procedural,1,0
Duke,ACC,Offside,7,24.0,3.43,,,,Procedural,1,0
Duke,ACC,Other / Unclassified,6,47.0,7.83,,,,Other,1,0
Duke,ACC,Delay of Game,4,17.0,4.25,,,,Procedural,1,0
Duke,ACC,Face Mask,3,17.0,5.67,,,,Other,1,0
Duke,ACC,Personal Foul,2,32.0,16.0,,,,Personal Foul,1,0
Duke,ACC,Roughing,1,6.0,6.0,,,,Personal Foul,1,0
Duke,ACC,Roughing the Passer,1,0.0,0.0,,,,Personal Foul,0,1
Duke,ACC,Unsportsmanlike Conduct,1,10.0,10.0,,,,Personal Foul,1,0
E Michigan,MAC,Holding,16,206.0,12.88,,,,Holding/Blocking,1,0
E Michigan,MAC,False Start,14,70.0,5.0,,,,Procedural,1,0
E Michigan,MAC,Pass Interference,12,203.0,16.92,,,,Pass/Coverage,1,0
E Michigan,MAC,Other / Unclassified,6,44.0,7.33,,,,Other,1,0
E Michigan,MAC,Delay of Game,5,25.0,5.0,,,,Procedural,1,0
E Michigan,MAC,Offside,4,15.0,3.75,,,,Procedural,1,0
E Michigan,MAC,Unsportsmanlike Conduct,3,26.0,8.67,,,,Personal Foul,1,0
E Michigan,MAC,Personal Foul,2,9.0,4.5,,,,Personal Foul,1,0
E Michigan,MAC,Face Mask,1,2.0,2.0,,,,Other,1,0
E Michigan,MAC,Illegal Formation,1,0.0,0.0,,,,Procedural,0,1
E Michigan,MAC,Roughing the Passer,1,15.0,15.0,,,,Personal Foul,1,0
East Carolina,American,False Start,17,76.0,4.47,,,,Procedural,1,0
East Carolina,American,Holding,16,136.0,8.5,,,,Holding/Blocking,1,0
East Carolina,American,Other / Unclassified,8,138.0,17.25,,,,Other,1,0
East Carolina,American,Offside,7,54.0,7.71,,,,Procedural,1,0
East Carolina,American,Pass Interference,6,67.0,11.17,,,,Pass/Coverage,1,0
East Carolina,American,Delay of Game,4,17.0,4.25,,,,Procedural,1,0
East Carolina,American,Illegal Formation,2,8.0,4.0,,,,Procedural,1,0
East Carolina,American,Personal Foul,2,0.0,0.0,,,,Personal Foul,0,1
East Carolina,American,Unsportsmanlike Conduct,2,1.0,0.5,,,,Personal Foul,1,0
East Carolina,American,Face Mask,1,15.0,15.0,,,,Other,1,0
East Carolina,American,Roughing the Passer,1,50.0,50.0,,,,Personal Foul,1,0
FAU,American,False Start,18,90.0,5.0,,,,Procedural,1,0
FAU,American,Holding,12,104.0,8.67,,,,Holding/Blocking,1,0
FAU,American,Offside,9,43.0,4.78,,,,Procedural,1,0
FAU,American,Pass Interference,8,89.0,11.12,,,,Pass/Coverage,1,0
FAU,American,Other / Unclassified,6,60.0,10.0,,,,Other,1,0
FAU,American,Delay of Game,2,10.0,5.0,,,,Procedural,1,0
FAU,American,Personal Foul,2,64.0,32.0,,,,Personal Foul,1,0
FAU,American,Face Mask,1,15.0,15.0,,,,Other,1,0
FAU,American,Illegal Formation,1,0.0,0.0,,,,Procedural,0,1
FAU,American,Roughing the Passer,1,0.0,0.0,,,,Personal Foul,0,1
FAU,American,Targeting,1,15.0,15.0,,,,Personal Foul,1,0
FAU,American,Unsportsmanlike Conduct,1,15.0,15.0,,,,Personal Foul,1,0
FIU,CUSA,Holding,16,259.0,16.19,,,,Holding/Blocking,1,0
FIU,CUSA,False Start,11,55.0,5.0,,,,Procedural,1,0
FIU,CUSA,Other / Unclassified,10,173.0,17.3,,,,Other,1,0
FIU,CUSA,Delay of Game,7,35.0,5.0,,,,Procedural,1,0
FIU,CUSA,Personal Foul,6,68.0,11.33,,,,Personal Foul,1,0
FIU,CUSA,Face Mask,5,121.0,24.2,,,,Other,1,0
FIU,CUSA,Offside,4,10.0,2.5,,,,Procedural,1,0
FIU,CUSA,Roughing the Passer,4,60.0,15.0,,,,Personal Foul,1,0
FIU,CUSA,Unsportsmanlike Conduct,3,44.0,14.67,,,,Personal Foul,1,0
FIU,CUSA,Pass Interference,2,18.0,9.0,,,,Pass/Coverage,1,0
Florida,SEC,False Start,13,45.0,3.46,,,,Procedural,1,0
Florida,SEC,Holding,13,151.0,11.62,,,,Holding/Blocking,1,0
Florida,SEC,Offside,8,81.0,10.12,,,,Procedural,1,0
Florida,SEC,Pass Interference,6,71.0,11.83,,,,Pass/Coverage,1,0
Florida,SEC,Personal Foul,6,58.0,9.67,,,,Personal Foul,1,0
Florida,SEC,Delay of Game,3,15.0,5.0,,,,Procedural,1,0
Florida,SEC,Other / Unclassified,3,51.0,17.0,,,,Other,1,0
Florida,SEC,Targeting,2,7.0,3.5,,,,Personal Foul,1,0
Florida,SEC,Unsportsmanlike Conduct,2,57.0,28.5,,,,Personal Foul,1,0
Florida,SEC,Face Mask,1,15.0,15.0,,,,Other,1,0
Florida,SEC,Illegal Formation,1,20.0,20.0,,,,Procedural,1,0
Florida,SEC,Roughing the Passer,1,15.0,15.0,,,,Personal Foul,1,0
Florida State,ACC,Personal Foul,12,64.0,5.33,,,,Personal Foul,1,0
Florida State,ACC,Other / Unclassified,10,77.0,7.7,,,,Other,1,0
Florida State,ACC,False Start,9,30.0,3.33,,,,Procedural,1,0
Florida State,ACC,Holding,8,92.0,11.5,,,,Holding/Blocking,1,0
Florida State,ACC,Pass Interference,8,99.0,12.38,,,,Pass/Coverage,1,0
Florida State,ACC,Delay of Game,4,20.0,5.0,,,,Procedural,1,0
Florida State,ACC,Offside,4,5.0,1.25,,,,Procedural,1,0
Florida State,ACC,Targeting,1,0.0,0.0,,,,Personal Foul,0,1
Florida State,ACC,Unsportsmanlike Conduct,1,0.0,0.0,,,,Personal Foul,0,1
Fresno State,MWC,Holding,23,160.0,6.96,,,,Holding/Blocking,1,0
Fresno State,MWC,False Start,14,74.0,5.29,,,,Procedural,1,0
Fresno State,MWC,Other / Unclassified,7,38.0,5.43,,,,Other,1,0
Fresno State,MWC,Unsportsmanlike Conduct,5,50.0,10.0,,,,Personal Foul,1,0
Fresno State,MWC,Pass Interference,4,56.0,14.0,,,,Pass/Coverage,1,0
Fresno State,MWC,Delay of Game,3,15.0,5.0,,,,Procedural,1,0
Fresno State,MWC,Face Mask,3,39.0,13.0,,,,Other,1,0
Fresno State,MWC,Personal Foul,3,34.0,11.33,,,,Personal Foul,1,0
