week,drawn_team,penalty_type,penalty_category,total_penalties,total_yards,avg_yards_per_penalty
1,Kennesaw State,Holding,Blocking / Holding,4,75.0,18.75
1,Kennesaw State,Other / Unclassified,Procedural,1,12.0,12.0
1,Kennesaw State,Unsportsmanlike Conduct,Personal / Contact,1,15.0,15.0
1,Kent State,Face Mask,Other,1,15.0,15.0
1,Kent State,False Start,Procedural,2,10.0,5.0
1,Kent State,Holding,Blocking / Holding,2,10.0,5.0
1,Kent State,Illegal Formation,Procedural,1,47.0,47.0
1,Kent State,Other / Unclassified,Blocking / Holding,1,0.0,0.0
1,Kent State,Other / Unclassified,Other,4,50.0,12.5
1,Kent State,Unsportsmanlike Conduct,Personal / Contact,1,15.0,15.0
1,Kentucky,False Start,Procedural,2,10.0,5.0
1,Kentucky,Offside,Procedural,1,7.0,7.0
1,Kentucky,Pass Interference,Personal / Contact,2,24.0,12.0
1,Kentucky,Personal Foul,Personal / Contact,1,18.0,18.0
1,LSU,False Start,Procedural,2,5.0,2.5
1,LSU,Holding,Blocking / Holding,2,20.0,10.0
1,Liberty,Delay of Game,Procedural,1,5.0,5.0
1,Liberty,Holding,Blocking / Holding,2,0.0,0.0
1,Liberty,Offside,Procedural,1,5.0,5.0
1,Liberty,Personal Foul,Personal / Contact,1,0.0,0.0
1,Louisiana,Face Mask,Other,1,6.0,6.0
1,Louisiana,Illegal Formation,Procedural,1,0.0,0.0
1,Louisiana,Other / Unclassified,Administrative,1,5.0,5.0
1,Louisiana,Other / Unclassified,Blocking / Holding,1,10.0,10.0
1,Louisiana Tech,False Start,Procedural,3,10.0,3.33
1,Louisiana Tech,Holding,Blocking / Holding,2,15.0,7.5
1,Louisiana Tech,Illegal Formation,Procedural,1,5.0,5.0
1,Louisiana Tech,Offside,Procedural,1,0.0,0.0
1,Louisville,Delay of Game,Procedural,1,3.0,3.0
1,Louisville,False Start,Procedural,4,20.0,5.0
1,Louisville,Offside,Procedural,1,5.0,5.0
1,Louisville,Pass Interference,Personal / Contact,1,4.0,4.0
1,Marshall,Delay of Game,Procedural,1,5.0,5.0
1,Marshall,Holding,Blocking / Holding,1,10.0,10.0
1,Maryland,Face Mask,Other,1,15.0,15.0
1,Maryland,False Start,Procedural,2,10.0,5.0
1,Maryland,Holding,Blocking / Holding,1,3.0,3.0
1,Maryland,Offside,Procedural,2,0.0,0.0
1,Massachusetts,Holding,Blocking / Holding,1,12.0,12.0
1,Massachusetts,Offside,Procedural,1,1.0,1.0
1,Massachusetts,Other / Unclassified,Other,3,17.0,5.67
1,Memphis,False Start,Procedural,1,5.0,5.0
1,Memphis,Offside,Procedural,1,0.0,0.0
1,Memphis,Pass Interference,Personal / Contact,1,15.0,15.0
1,Miami,False Start,Procedural,1,5.0,5.0
1,Miami,Holding,Blocking / Holding,1,10.0,10.0
1,Miami,Other / Unclassified,Other,2,18.0,9.0
1,Miami,Personal Foul,Personal / Contact,1,0.0,0.0
1,Miami (OH),Delay of Game,Procedural,1,5.0,5.0
1,Miami (OH),False Start,Procedural,1,5.0,5.0
1,Miami (OH),Holding,Blocking / Holding,2,7.0,3.5
1,Miami (OH),Other / Unclassified,Administrative,1,5.0,5.0
1,Miami (OH),Pass Interference,Personal / Contact,3,45.0,15.0
1,Michigan,False Start,Procedural,1,5.0,5.0
1,Michigan,Pass Interference,Personal / Contact,1,15.0,15.0
1,Michigan,Targeting,Personal / Contact,1,12.0,12.0
1,Michigan State,Delay of Game,Procedural,1,0.0,0.0
1,Michigan State,Other / Unclassified,Other,3,21.0,7.0
1,Michigan State,Pass Interference,Personal / Contact,1,0.0,0.0
1,Middle Tennessee,Delay of Game,Procedural,2,10.0,5.0
1,Middle Tennessee,Holding,Blocking / Holding,2,19.0,9.5
1,Middle Tennessee,Offside,Procedural,1,1.0,1.0
1,Middle Tennessee,Other / Unclassified,Other,2,27.0,13.5
1,Middle Tennessee,Pass Interference,Personal / Contact,2,30.0,15.0
1,Middle Tennessee,Roughing the Passer,Personal / Contact,1,15.0,15.0
1,Minnesota,Delay of Game,Procedural,1,5.0,5.0
1,Minnesota,Offside,Procedural,1,5.0,5.0
1,Minnesota,Other / Unclassified,Blocking / Holding,1,0.0,0.0
1,Minnesota,Personal Foul,Personal / Contact,1,15.0,15.0
1,Mississippi State,Delay of Game,Procedural,1,5.0,5.0
1,Mississippi State,False Start,Procedural,1,5.0,5.0
1,Mississippi State,Holding,Blocking / Holding,1,0.0,0.0
1,Mississippi State,Offside,Procedural,1,5.0,5.0
1,Mississippi State,Pass Interference,Personal / Contact,2,15.0,7.5
1,Mississippi State,Personal Foul,Personal / Contact,3,23.0,7.67
1,Missouri,Holding,Blocking / Holding,1,10.0,10.0
1,Missouri,Pass Interference,Personal / Contact,1,3.0,3.0
1,Missouri State,Delay of Game,Procedural,1,5.0,5.0
1,Missouri State,Holding,Blocking / Holding,1,0.0,0.0
1,Missouri State,Illegal Formation,Procedural,1,5.0,5.0
1,Missouri State,Offside,Procedural,1,5.0,5.0
1,Missouri State,Other / Unclassified,Other,3,15.0,5.0
1,Missouri State,Pass Interference,Personal / Contact,1,15.0,15.0
1,NC State,False Start,Procedural,3,15.0,5.0
1,NC State,Holding,Blocking / Holding,4,21.0,5.25
1,NC State,Holding,Procedural,1,59.0,59.0
1,NC State,Other / Unclassified,Administrative,2,5.0,2.5
1,NC State,Pass Interference,Personal / Contact,1,11.0,11.0
1,NC State,Roughing the Passer,Personal / Contact,2,65.0,32.5
1,Navy,Delay of Game,Procedural,1,5.0,5.0
1,Navy,False Start,Procedural,3,15.0,5.0
1,Nebraska,False Start,Procedural,4,20.0,5.0
1,Nebraska,Holding,Blocking / Holding,1,10.0,10.0
1,Nevada,Delay of Game,Procedural,1,5.0,5.0
1,Nevada,Holding,Blocking / Holding,1,1.0,1.0
1,Nevada,Offside,Procedural,1,5.0,5.0
1,Nevada,Other / Unclassified,Blocking / Holding,1,0.0,0.0
1,New Mexico,False Start,Procedural,1,5.0,5.0
1,New Mexico,Holding,Blocking / Holding,1,12.0,12.0
1,New Mexico,Illegal Formation,Procedural,1,0.0,0.0
1,New Mexico,Offside,Procedural,2,10.0,5.0
1,New Mexico,Pass Interference,Personal / Contact,2,10.0,5.0
1,New Mexico State,False Start,Procedural,1,5.0,5.0
1,New Mexico State,Holding,Blocking / Holding,5,25.0,5.0
1,New Mexico State,Offside,Procedural,1,5.0,5.0
1,New Mexico State,Other / Unclassified,Other,1,10.0,10.0
1,New Mexico State,Personal Foul,Personal / Contact,1,15.0,15.0
1,North Carolina,False Start,Procedural,1,0.0,0.0
1,North Carolina,Holding,Blocking / Holding,1,21.0,21.0
1,North Carolina,Pass Interference,Personal / Contact,3,41.0,13.67
1,North Carolina,Unsportsmanlike Conduct,Personal / Contact,1,0.0,0.0
1,North Texas,Delay of Game,Procedural,6,30.0,5.0
1,North Texas,Face Mask,Other,1,15.0,15.0
1,North Texas,False Start,Procedural,1,5.0,5.0
1,North Texas,Holding,Blocking / Holding,2,18.0,9.0
1,North Texas,Offside,Procedural,2,7.0,3.5
1,North Texas,Other / Unclassified,Administrative,1,0.0,0.0
1,North Texas,Other / Unclassified,Other,1,0.0,0.0
1,North Texas,Personal Foul,Personal / Contact,1,0.0,0.0
1,Northern Illinois,Other / Unclassified,Other,1,0.0,0.0
1,Northern Illinois,Pass Interference,Personal / Contact,1,15.0,15.0
1,Northwestern,Holding,Blocking / Holding,2,0.0,0.0
1,Northwestern,Offside,Procedural,1,0.0,0.0
1,Northwestern,Other / Unclassified,Administrative,1,0.0,0.0
1,Northwestern,Pass Interference,Personal / Contact,1,14.0,14.0
1,Notre Dame,Delay of Game,Procedural,1,5.0,5.0
1,Notre Dame,Holding,Blocking / Holding,2,0.0,0.0
1,Notre Dame,Other / Unclassified,Other,1,0.0,0.0
1,Notre Dame,Pass Interference,Personal / Contact,2,11.0,5.5
1,Ohio,Delay of Game,Procedural,1,5.0,5.0
1,Ohio,False Start,Procedural,2,10.0,5.0
1,Ohio,Holding,Blocking / Holding,1,0.0,0.0
1,Ohio,Other / Unclassified,Blocking / Holding,1,0.0,0.0
1,Ohio State,Face Mask,Other,1,15.0,15.0
1,Ohio State,False Start,Procedural,3,15.0,5.0
1,Ohio State,Holding,Blocking / Holding,2,20.0,10.0
1,Oklahoma,Delay of Game,Procedural,1,5.0,5.0
1,Oklahoma,False Start,Procedural,1,5.0,5.0
1,Oklahoma,Holding,Blocking / Holding,1,4.0,4.0
1,Oklahoma State,False Start,Procedural,4,0.0,0.0
1,Oklahoma State,Holding,Blocking / Holding,1,0.0,0.0
1,Oklahoma State,Other / Unclassified,Procedural,1,1.0,1.0
1,Oklahoma State,Pass Interference,Personal / Contact,1,0.0,0.0
1,Old Dominion,False Start,Procedural,1,5.0,5.0
1,Old Dominion,Holding,Blocking / Holding,1,0.0,0.0
1,Old Dominion,Offside,Procedural,1,5.0,5.0
1,Old Dominion,Other / Unclassified,Other,1,0.0,0.0
1,Old Dominion,Pass Interference,Personal / Contact,1,15.0,15.0
1,Old Dominion,Personal Foul,Personal / Contact,1,15.0,15.0
1,Ole Miss,Delay of Game,Procedural,2,8.0,4.0
1,Ole Miss,False Start,Procedural,1,5.0,5.0
1,Ole Miss,Other / Unclassified,Other,2,15.0,7.5
1,Ole Miss,Pass Interference,Personal / Contact,1,6.0,6.0
1,Oregon,Delay of Game,Procedural,1,5.0,5.0
1,Oregon,False Start,Procedural,3,15.0,5.0
1,Oregon,Illegal Formation,Procedural,2,53.0,26.5
1,Oregon,Offside,Procedural,1,5.0,5.0
1,Oregon,Pass Interference,Personal / Contact,1,14.0,14.0
1,Oregon State,Delay of Game,Procedural,1,5.0,5.0
1,Oregon State,False Start,Procedural,1,50.0,50.0
1,Oregon State,Holding,Blocking / Holding,2,10.0,5.0
1,Oregon State,Holding,Procedural,1,0.0,0.0
1,Oregon State,Other / Unclassified,Administrative,1,5.0,5.0
1,Oregon State,Other / Unclassified,Blocking / Holding,1,0.0,0.0
1,Oregon State,Pass Interference,Personal / Contact,2,0.0,0.0
1,Oregon State,Roughing,Personal / Contact,1,0.0,0.0
1,Penn State,False Start,Procedural,2,9.0,4.5
1,Penn State,Holding,Blocking / Holding,1,0.0,0.0
1,Penn State,Offside,Procedural,1,5.0,5.0
1,Penn State,Pass Interference,Personal / Contact,2,15.0,7.5
1,Pittsburgh,Delay of Game,Procedural,3,15.0,5.0
1,Pittsburgh,False Start,Procedural,2,10.0,5.0
1,Pittsburgh,Holding,Blocking / Holding,3,16.0,5.33
1,Pittsburgh,Offside,Procedural,1,0.0,0.0
1,Pittsburgh,Other / Unclassified,Administrative,1,5.0,5.0
1,Pittsburgh,Other / Unclassified,Other,1,0.0,0.0
1,Purdue,False Start,Procedural,1,3.0,3.0
1,Purdue,Holding,Blocking / Holding,1,0.0,0.0
1,Purdue,Other / Unclassified,Other,1,5.0,5.0
1,Rice,Holding,Blocking / Holding,2,21.0,10.5
1,Rice,Offside,Procedural,1,5.0,5.0
1,Rice,Other / Unclassified,Other,2,15.0,7.5
1,Rice,Pass Interference,Personal / Contact,2,30.0,15.0
1,Rice,Pass Interference,Procedural,1,15.0,15.0
1,Rutgers,Delay of Game,Procedural,1,5.0,5.0
1,Rutgers,Face Mask,Other,2,30.0,15.0
1,Rutgers,False Start,Procedural,5,5.0,1.0
1,SMU,Delay of Game,Procedural,2,10.0,5.0
1,SMU,False Start,Procedural,5,25.0,5.0
1,SMU,Holding,Blocking / Holding,1,0.0,0.0
1,SMU,Offside,Procedural,1,5.0,5.0
1,Sam Houston,Holding,Blocking / Holding,2,0.0,0.0
1,Sam Houston,Illegal Formation,Procedural,1,0.0,0.0
1,Sam Houston,Other / Unclassified,Other,2,0.0,0.0
1,Sam Houston,Pass Interference,Personal / Contact,5,0.0,0.0
1,San Diego State,False Start,Procedural,2,10.0,5.0
1,San Diego State,Holding,Blocking / Holding,2,18.0,9.0
1,San Diego State,Other / Unclassified,Other,1,11.0,11.0
1,San Diego State,Pass Interference,Personal / Contact,1,15.0,15.0
1,San Diego State,Unsportsmanlike Conduct,Personal / Contact,1,15.0,15.0
1,San Jose St,False Start,Procedural,2,10.0,5.0
1,San Jose St,Other / Unclassified,Administrative,1,8.0,8.0
1,San Jose St,Other / Unclassified,Procedural,2,8.0,4.0
1,San Jose St,Pass Interference,Personal / Contact,1,3.0,3.0
1,South Alabama,Delay of Game,Procedural,1,5.0,5.0
1,South Alabama,False Start,Procedural,3,15.0,5.0
1,South Alabama,Holding,Blocking / Holding,4,9.0,2.25
1,South Alabama,Offside,Procedural,1,0.0,0.0
1,South Alabama,Other / Unclassified,Administrative,1,5.0,5.0
1,South Alabama,Other / Unclassified,Other,2,0.0,0.0
1,South Alabama,Targeting,Personal / Contact,1,6.0,6.0
1,South Carolina,False Start,Procedural,1,0.0,0.0
1,South Carolina,Illegal Formation,Procedural,1,5.0,5.0
1,South Carolina,Offside,Procedural,3,10.0,3.33
1,South Carolina,Personal Foul,Personal / Contact,2,0.0,0.0
1,South Florida,Delay of Game,Procedural,2,6.0,3.0
1,South Florida,False Start,Procedural,3,15.0,5.0
1,South Florida,Pass Interference,Personal / Contact,1,10.0,10.0
1,South Florida,Unsportsmanlike Conduct,Personal / Contact,1,15.0,15.0
1,Southern Miss,Delay of Game,Procedural,1,5.0,5.0
1,Southern Miss,False Start,Procedural,2,10.0,5.0
1,Southern Miss,Holding,Blocking / Holding,7,16.0,2.29
1,Southern Miss,Illegal Formation,Procedural,3,30.0,10.0
1,Southern Miss,Other / Unclassified,Administrative,1,5.0,5.0
1,Southern Miss,Pass Interference,Personal / Contact,1,15.0,15.0
1,Stanford,Face Mask,Other,2,30.0,15.0
1,Stanford,False Start,Procedural,1,0.0,0.0
1,Stanford,Holding,Blocking / Holding,2,0.0,0.0
1,Stanford,Other / Unclassified,Other,2,0.0,0.0
1,Stanford,Personal Foul,Personal / Contact,1,0.0,0.0
1,Stanford,Unsportsmanlike Conduct,Personal / Contact,1,12.0,12.0
1,Syracuse,False Start,Procedural,2,10.0,5.0
1,Syracuse,Offside,Procedural,1,5.0,5.0
1,Syracuse,Other / Unclassified,Administrative,1,5.0,5.0
1,Syracuse,Other / Unclassified,Blocking / Holding,1,15.0,15.0
1,Syracuse,Pass Interference,Personal / Contact,1,15.0,15.0
1,TCU,Delay of Game,Procedural,1,5.0,5.0
1,TCU,False Start,Procedural,1,0.0,0.0
1,Temple,False Start,Procedural,2,10.0,5.0
1,Temple,Holding,Blocking / Holding,2,17.0,8.5
1,Temple,Other / Unclassified,Other,2,0.0,0.0
1,Temple,Pass Interference,Personal / Contact,1,15.0,15.0
1,Temple,Personal Foul,Personal / Contact,1,0.0,0.0
1,Tennessee,Delay of Game,Procedural,1,5.0,5.0
1,Tennessee,Offside,Procedural,1,5.0,5.0
1,Tennessee,Other / Unclassified,Procedural,1,5.0,5.0
1,Tennessee,Pass Interference,Personal / Contact,2,30.0,15.0
1,Texas,Holding,Blocking / Holding,2,3.0,1.5
1,Texas,Illegal Formation,Procedural,1,5.0,5.0
1,Texas A&M,False Start,Procedural,1,5.0,5.0
